epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.4921875,1.7289613485336304,,
0,99,0.6015625,1.3695316314697266,,
0,149,0.828125,1.0452899932861328,,
0,199,0.765625,0.9726805090904236,,
0,249,0.859375,0.6941794157028198,,
0,299,0.796875,0.6764757633209229,,
0,349,0.828125,0.5714997053146362,,
0,390,,,0.9621000289916992,0.26829397678375244
1,399,0.90625,0.4355260133743286,,
1,449,0.921875,0.3742969036102295,,
1,499,0.90625,0.4831463396549225,,
1,549,0.8828125,0.550641655921936,,
1,599,0.90625,0.4304056763648987,,
1,649,0.8828125,0.3671395182609558,,
1,699,0.9140625,0.37757372856140137,,
1,749,0.9453125,0.2249222695827484,,
1,781,,,0.9717000126838684,0.12482871115207672
2,799,0.90625,0.30779707431793213,,
2,849,0.9140625,0.24985727667808533,,
2,899,0.9453125,0.2146596759557724,,
2,949,0.9296875,0.2631899118423462,,
2,999,0.9453125,0.22416259348392487,,
2,1049,0.921875,0.27517563104629517,,
2,1099,0.953125,0.1878093183040619,,
2,1149,0.921875,0.21476605534553528,,
2,1172,,,0.9771999716758728,0.08731116354465485
3,1199,0.9453125,0.21205134689807892,,
3,1249,0.9453125,0.21691776812076569,,
3,1299,0.9375,0.2619425654411316,,
3,1349,0.96875,0.13623681664466858,,
3,1399,0.9296875,0.2058086395263672,,
3,1449,0.9375,0.17999404668807983,,
3,1499,0.9609375,0.19380301237106323,,
3,1549,0.96875,0.1493678092956543,,
3,1563,,,0.9761999845504761,0.08314994722604752
4,1599,0.9453125,0.16892892122268677,,
4,1649,0.953125,0.18435390293598175,,
4,1699,0.9375,0.18291042745113373,,
4,1749,0.9453125,0.14489619433879852,,
4,1799,0.96875,0.16959109902381897,,
4,1849,0.9140625,0.241109237074852,,
4,1899,0.9609375,0.12863662838935852,,
4,1949,0.953125,0.18957121670246124,,
4,1954,,,0.9815999865531921,0.06147347390651703
5,1999,0.953125,0.16391001641750336,,
5,2049,0.9765625,0.0914568156003952,,
5,2099,0.9296875,0.1635103076696396,,
5,2149,0.9609375,0.16395793855190277,,
5,2199,0.96875,0.14792659878730774,,
5,2249,0.9765625,0.09344927221536636,,
5,2299,0.9921875,0.06273454427719116,,
5,2345,,,0.9836999773979187,0.0556987002491951
6,2349,0.9140625,0.28864437341690063,,
6,2399,0.9765625,0.09583626687526703,,
6,2449,0.9453125,0.178652822971344,,
6,2499,0.953125,0.14179416000843048,,
6,2549,0.9453125,0.13181889057159424,,
6,2599,0.96875,0.167680561542511,,
6,2649,0.96875,0.13951119780540466,,
6,2699,0.9609375,0.11232718825340271,,
6,2736,,,0.9850999712944031,0.05214264988899231
7,2749,0.9296875,0.14540401101112366,,
7,2799,0.9765625,0.11567766219377518,,
7,2849,0.96875,0.12609349191188812,,
7,2899,0.9921875,0.07040315866470337,,
7,2949,0.9375,0.15408527851104736,,
7,2999,0.9765625,0.08556843549013138,,
7,3049,0.984375,0.07738614827394485,,
7,3099,0.96875,0.08474679291248322,,
7,3127,,,0.9869999885559082,0.04450726881623268
8,3149,0.9609375,0.1160048246383667,,
8,3199,0.9609375,0.09940826892852783,,
8,3249,0.953125,0.09435954689979553,,
8,3299,0.9609375,0.15103423595428467,,
8,3349,0.9921875,0.1353653073310852,,
8,3399,0.9453125,0.12185831367969513,,
8,3449,0.9765625,0.0929521769285202,,
8,3499,0.921875,0.15144923329353333,,
8,3518,,,0.982200026512146,0.06380798667669296
9,3549,0.9765625,0.05196566879749298,,
9,3599,0.96875,0.09912680089473724,,
9,3649,0.9765625,0.08825984597206116,,
9,3699,0.9765625,0.08664213120937347,,
9,3749,0.953125,0.12072523683309555,,
9,3799,0.9609375,0.15804064273834229,,
9,3849,0.9609375,0.1028594896197319,,
9,3899,0.9609375,0.10560622811317444,,
9,3909,,,0.9865999817848206,0.04900437593460083
10,3949,0.984375,0.06837213039398193,,
10,3999,0.9765625,0.1293102353811264,,
10,4049,0.953125,0.13125574588775635,,
10,4099,0.921875,0.21444329619407654,,
10,4149,0.953125,0.13637660443782806,,
10,4199,0.984375,0.08111533522605896,,
10,4249,0.96875,0.08161669224500656,,
10,4299,0.9453125,0.09787335991859436,,
10,4300,,,0.9879999756813049,0.042885590344667435
11,4349,0.9765625,0.07873684167861938,,
11,4399,0.984375,0.05594291538000107,,
11,4449,0.984375,0.07543158531188965,,
11,4499,0.96875,0.09010733664035797,,
11,4549,0.9453125,0.0888056755065918,,
11,4599,0.96875,0.1052330732345581,,
11,4649,0.96875,0.1088145524263382,,
11,4691,,,0.9883999824523926,0.03913167864084244
12,4699,0.96875,0.11452735960483551,,
12,4749,0.9609375,0.10087816417217255,,
12,4799,0.984375,0.061674050986766815,,
12,4849,0.9609375,0.1575944721698761,,
12,4899,0.9609375,0.08397431671619415,,
12,4949,0.9765625,0.05798930302262306,,
12,4999,0.984375,0.06395159661769867,,
12,5049,0.9765625,0.05269221216440201,,
12,5082,,,0.9865999817848206,0.04659854993224144
13,5099,0.9765625,0.08074738830327988,,
13,5149,0.9609375,0.11392390727996826,,
13,5199,0.984375,0.058084167540073395,,
13,5249,0.984375,0.07221384346485138,,
13,5299,0.96875,0.06670915335416794,,
13,5349,0.984375,0.06258825957775116,,
13,5399,0.96875,0.09573552012443542,,
13,5449,0.96875,0.11935746669769287,,
13,5473,,,0.982699990272522,0.06083967909216881
14,5499,0.9921875,0.0373104028403759,,
14,5549,0.9765625,0.06590646505355835,,
14,5599,0.9921875,0.06653500348329544,,
14,5649,0.984375,0.0659160166978836,,
14,5699,0.9921875,0.10949777066707611,,
14,5749,0.984375,0.06764417141675949,,
14,5799,0.984375,0.0801171362400055,,
14,5849,0.9453125,0.16625595092773438,,
14,5864,,,0.9890999794006348,0.038780245929956436
15,5899,0.9765625,0.07125160098075867,,
15,5949,0.9765625,0.0668453723192215,,
15,5999,0.984375,0.0655040591955185,,
15,6049,1.0,0.03659055382013321,,
15,6099,0.9609375,0.09503195434808731,,
15,6149,0.96875,0.09223672747612,,
15,6199,0.96875,0.08766162395477295,,
15,6249,0.9609375,0.10253282636404037,,
15,6255,,,0.989300012588501,0.03527588024735451
16,6299,0.9921875,0.04808013141155243,,
16,6349,0.9296875,0.20196422934532166,,
16,6399,0.96875,0.06259985268115997,,
16,6449,0.96875,0.07793191075325012,,
16,6499,0.9765625,0.06820803135633469,,
16,6549,0.9765625,0.13939549028873444,,
16,6599,0.96875,0.09601876139640808,,
16,6646,,,0.9898999929428101,0.036046408116817474
17,6649,0.953125,0.10683538019657135,,
17,6699,0.9765625,0.07685001939535141,,
17,6749,0.9765625,0.045433107763528824,,
17,6799,0.96875,0.07231052219867706,,
17,6849,0.984375,0.056546613574028015,,
17,6899,0.9765625,0.0561821311712265,,
17,6949,1.0,0.023303523659706116,,
17,6999,0.96875,0.06125282496213913,,
17,7037,,,0.9871000051498413,0.04932701587677002
18,7049,0.984375,0.062167126685380936,,
18,7099,0.953125,0.10432031750679016,,
18,7149,0.9765625,0.05115428939461708,,
18,7199,0.96875,0.07016569375991821,,
18,7249,0.9375,0.11998861283063889,,
18,7299,0.9609375,0.15034791827201843,,
18,7349,0.96875,0.06389663368463516,,
18,7399,0.984375,0.04869791120290756,,
18,7428,,,0.989300012588501,0.034777723252773285
19,7449,0.9921875,0.042022980749607086,,
19,7499,0.96875,0.09265308827161789,,
19,7549,0.96875,0.06257982552051544,,
19,7599,0.96875,0.08574804663658142,,
19,7649,0.9921875,0.03445319086313248,,
