epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.5,1.9352998733520508,,
0,99,0.5625,1.6240588426589966,,
0,149,1.0,1.247054100036621,,
0,199,0.9375,1.1156136989593506,,
0,249,0.8125,0.876767635345459,,
0,299,0.875,0.8314238786697388,,
0,349,0.9375,0.63470458984375,,
0,399,1.0,0.49985963106155396,,
0,449,0.75,0.8799605369567871,,
0,499,1.0,0.4647633731365204,,
0,549,0.875,0.522257924079895,,
0,599,0.9375,0.3944295048713684,,
0,649,0.9375,0.39031049609184265,,
0,699,0.9375,0.36345285177230835,,
0,749,0.875,0.5476804971694946,,
0,799,0.9375,0.40343570709228516,,
0,849,0.875,0.40833643078804016,,
0,899,0.9375,0.2237998992204666,,
0,949,0.9375,0.144337460398674,,
0,999,1.0,0.10824167728424072,,
0,1049,0.9375,0.23709222674369812,,
0,1099,1.0,0.11636145412921906,,
0,1149,1.0,0.11271002888679504,,
0,1199,1.0,0.05505354329943657,,
0,1249,1.0,0.10303165018558502,,
0,1299,0.9375,0.18217065930366516,,
0,1349,0.9375,0.3203727602958679,,
0,1399,0.9375,0.2786976993083954,,
0,1449,0.9375,0.1568910926580429,,
0,1499,0.9375,0.16497448086738586,,
0,1549,0.9375,0.3771437406539917,,
0,1599,1.0,0.05472738668322563,,
0,1649,1.0,0.1160891205072403,,
0,1699,1.0,0.1661141961812973,,
0,1749,1.0,0.0161257516592741,,
0,1799,1.0,0.05229931324720383,,
0,1849,1.0,0.08009999245405197,,
0,1899,0.9375,0.1559932380914688,,
0,1949,1.0,0.038618724793195724,,
0,1999,0.9375,0.25766533613204956,,
0,2049,0.9375,0.2121877372264862,,
0,2099,1.0,0.032408811151981354,,
0,2149,0.875,0.2028631567955017,,
0,2199,0.9375,0.2547701299190521,,
0,2249,0.9375,0.1500300019979477,,
0,2299,0.9375,0.1633780598640442,,
0,2349,0.875,0.31109559535980225,,
0,2399,1.0,0.12332739681005478,,
0,2449,0.9375,0.14659705758094788,,
0,2499,0.9375,0.1806296408176422,,
0,2549,0.9375,0.1116715595126152,,
0,2599,1.0,0.04233476147055626,,
0,2649,0.9375,0.14559891819953918,,
0,2699,1.0,0.08050335943698883,,
0,2749,0.9375,0.1383042186498642,,
0,2799,1.0,0.0779012069106102,,
0,2849,1.0,0.013109296560287476,,
0,2899,1.0,0.04802416265010834,,
0,2949,0.9375,0.11739540100097656,,
0,2999,1.0,0.022243676707148552,,
0,3049,0.9375,0.13857944309711456,,
0,3099,1.0,0.029271982610225677,,
0,3124,,,0.9807999730110168,0.0652478039264679
1,3149,1.0,0.016853880137205124,,
1,3199,1.0,0.031549207866191864,,
1,3249,0.9375,0.14086461067199707,,
1,3299,1.0,0.0695236325263977,,
1,3349,1.0,0.058002542704343796,,
1,3399,1.0,0.02196435257792473,,
1,3449,0.9375,0.12528303265571594,,
1,3499,1.0,0.007714438252151012,,
1,3549,0.875,0.5509257316589355,,
1,3599,1.0,0.09273067116737366,,
1,3649,1.0,0.10552825033664703,,
1,3699,0.9375,0.1159452348947525,,
1,3749,0.9375,0.10603765398263931,,
1,3799,1.0,0.023868147283792496,,
1,3849,1.0,0.02620815299451351,,
1,3899,1.0,0.0205765999853611,,
1,3949,0.9375,0.16836142539978027,,
1,3999,1.0,0.020820066332817078,,
1,4049,1.0,0.07004803419113159,,
1,4099,1.0,0.041658129543066025,,
1,4149,1.0,0.0679880678653717,,
1,4199,0.9375,0.24693727493286133,,
1,4249,0.9375,0.1160493791103363,,
1,4299,1.0,0.053788769990205765,,
1,4349,1.0,0.013044903054833412,,
1,4399,1.0,0.029393518343567848,,
1,4449,0.9375,0.11431045085191727,,
1,4499,1.0,0.014319440349936485,,
1,4549,1.0,0.02203708328306675,,
1,4599,1.0,0.0076390644535422325,,
1,4649,1.0,0.04708482325077057,,
1,4699,1.0,0.014514995738863945,,
1,4749,1.0,0.06076875701546669,,
1,4799,1.0,0.04738288372755051,,
1,4849,1.0,0.04725940153002739,,
1,4899,1.0,0.04970543086528778,,
1,4949,1.0,0.07670745998620987,,
1,4999,0.9375,0.1334669291973114,,
1,5049,0.9375,0.23338447511196136,,
1,5099,0.9375,0.2653789520263672,,
1,5149,1.0,0.06970986723899841,,
1,5199,1.0,0.05340099707245827,,
1,5249,0.9375,0.10745767503976822,,
1,5299,1.0,0.03139666095376015,,
1,5349,1.0,0.056292615830898285,,
1,5399,1.0,0.005446897819638252,,
1,5449,1.0,0.020608820021152496,,
1,5499,0.9375,0.36596348881721497,,
1,5549,1.0,0.06731440871953964,,
1,5599,1.0,0.03101339563727379,,
1,5649,1.0,0.07791636884212494,,
1,5699,1.0,0.010480991564691067,,
1,5749,1.0,0.040473535656929016,,
1,5799,0.875,0.27143895626068115,,
1,5849,0.9375,0.12981824576854706,,
1,5899,1.0,0.022891584783792496,,
1,5949,0.9375,0.07785071432590485,,
1,5999,0.9375,0.1159837618470192,,
1,6049,1.0,0.01663646660745144,,
1,6099,1.0,0.012480604462325573,,
1,6149,1.0,0.012084278278052807,,
1,6199,0.9375,0.10647957026958466,,
1,6249,0.9375,0.2330024242401123,,
1,6249,,,0.9850000143051147,0.04995035380125046
2,6299,1.0,0.008339965716004372,,
2,6349,1.0,0.012227394618093967,,
2,6399,1.0,0.027377603575587273,,
2,6449,1.0,0.012864738702774048,,
2,6499,1.0,0.09869912266731262,,
2,6549,1.0,0.028175104409456253,,
2,6599,1.0,0.020352421328425407,,
