epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.6875,1.4807319641113281,,
0,99,0.90625,0.8452498912811279,,
0,149,0.9375,0.44815000891685486,,
0,199,0.90625,0.41147953271865845,,
0,249,0.8125,0.4147682785987854,,
0,299,0.9375,0.25747233629226685,,
0,349,1.0,0.14934135973453522,,
0,399,0.96875,0.13245445489883423,,
0,449,0.96875,0.16021762788295746,,
0,499,0.875,0.556887686252594,,
0,549,0.96875,0.16787061095237732,,
0,599,0.96875,0.1862255334854126,,
0,649,0.96875,0.09614069759845734,,
0,699,1.0,0.10376808047294617,,
0,749,1.0,0.032578594982624054,,
0,799,1.0,0.038237910717725754,,
0,849,1.0,0.04822826758027077,,
0,899,1.0,0.051012564450502396,,
0,949,0.96875,0.14859402179718018,,
0,999,0.90625,0.12596102058887482,,
0,1049,0.9375,0.06879011541604996,,
0,1099,0.9375,0.17324188351631165,,
0,1149,0.9375,0.1992644965648651,,
0,1199,1.0,0.04523802548646927,,
0,1249,0.96875,0.09275257587432861,,
0,1299,0.96875,0.13319842517375946,,
0,1349,1.0,0.017293628305196762,,
0,1399,0.96875,0.10578542947769165,,
0,1449,1.0,0.028616003692150116,,
0,1499,1.0,0.029214011505246162,,
0,1549,1.0,0.018637467175722122,,
0,1562,,,0.9815000295639038,0.06307733058929443
1,1599,0.9375,0.1285317987203598,,
1,1649,1.0,0.033175088465213776,,
1,1699,1.0,0.03299831226468086,,
1,1749,0.90625,0.20884716510772705,,
1,1799,0.96875,0.05029967427253723,,
1,1849,1.0,0.04166627302765846,,
1,1899,0.96875,0.047572121024131775,,
1,1949,0.96875,0.07708582282066345,,
1,1999,1.0,0.03807251900434494,,
1,2049,0.96875,0.067825548350811,,
1,2099,1.0,0.027501188218593597,,
1,2149,1.0,0.022480709478259087,,
1,2199,1.0,0.012143505737185478,,
1,2249,0.96875,0.08120395243167877,,
1,2299,0.9375,0.06635402888059616,,
1,2349,0.96875,0.11273682117462158,,
1,2399,1.0,0.03479054942727089,,
1,2449,1.0,0.015049360692501068,,
1,2499,0.96875,0.04728976637125015,,
1,2549,0.96875,0.10199674218893051,,
1,2599,0.9375,0.10571634024381638,,
1,2649,1.0,0.0200069360435009,,
1,2699,0.96875,0.21804207563400269,,
1,2749,1.0,0.05584456026554108,,
1,2799,1.0,0.021953746676445007,,
1,2849,1.0,0.044248685240745544,,
1,2899,0.96875,0.07777108997106552,,
1,2949,1.0,0.02567209117114544,,
1,2999,1.0,0.017771711573004723,,
1,3049,1.0,0.009485187008976936,,
1,3099,0.9375,0.14310044050216675,,
1,3125,,,0.9764999747276306,0.08008479326963425
2,3149,1.0,0.048587385565042496,,
2,3199,0.9375,0.1950819492340088,,
2,3249,1.0,0.027290567755699158,,
2,3299,1.0,0.015164779499173164,,
2,3349,0.9375,0.20407772064208984,,
2,3399,0.96875,0.0744679868221283,,
2,3449,0.96875,0.044964879751205444,,
2,3499,1.0,0.005910458043217659,,
2,3549,0.96875,0.05245058238506317,,
2,3599,0.96875,0.0735376700758934,,
2,3649,0.96875,0.0756986141204834,,
2,3699,0.96875,0.0938282385468483,,
2,3749,1.0,0.04395836964249611,,
2,3799,0.96875,0.041640423238277435,,
2,3849,1.0,0.004973695147782564,,
2,3899,0.96875,0.11494585126638412,,
2,3949,0.96875,0.06982722878456116,,
2,3999,0.96875,0.03359329327940941,,
2,4049,1.0,0.006831099279224873,,
2,4099,1.0,0.01824358105659485,,
2,4149,0.96875,0.1398737132549286,,
2,4199,1.0,0.013456850312650204,,
2,4249,0.9375,0.13313914835453033,,
2,4299,0.96875,0.24338369071483612,,
2,4349,1.0,0.009521514177322388,,
2,4399,1.0,0.014921613968908787,,
2,4449,1.0,0.018517758697271347,,
2,4499,0.9375,0.08058230578899384,,
2,4549,1.0,0.005583796184509993,,
2,4599,1.0,0.02402428910136223,,
2,4649,1.0,0.011902143247425556,,
2,4688,,,0.9846000075340271,0.052793968468904495
3,4699,0.96875,0.04642542451620102,,
3,4749,1.0,0.0080023854970932,,
3,4799,1.0,0.031096575781702995,,
3,4849,1.0,0.00555947283282876,,
3,4899,1.0,0.023787405341863632,,
3,4949,0.96875,0.10183621942996979,,
3,4999,1.0,0.03235284984111786,,
3,5049,1.0,0.017740068957209587,,
3,5099,1.0,0.014406765811145306,,
3,5149,1.0,0.006634801626205444,,
3,5199,1.0,0.006160128396004438,,
3,5249,0.9375,0.10640457272529602,,
3,5299,1.0,0.03918923810124397,,
3,5349,1.0,0.011638589203357697,,
3,5399,0.9375,0.15802869200706482,,
3,5449,0.96875,0.05108194425702095,,
3,5499,0.9375,0.10119862854480743,,
3,5549,1.0,0.013559055514633656,,
3,5599,0.96875,0.04862407222390175,,
3,5649,0.96875,0.04864612594246864,,
3,5699,0.96875,0.15124565362930298,,
3,5749,1.0,0.008151590824127197,,
3,5799,1.0,0.002880711806938052,,
3,5849,1.0,0.0035402639769017696,,
3,5899,0.96875,0.08978109806776047,,
3,5949,0.9375,0.11319805681705475,,
3,5999,1.0,0.029492104426026344,,
3,6049,1.0,0.0009742472320795059,,
3,6099,1.0,0.025228913873434067,,
3,6149,1.0,0.0018441793508827686,,
3,6199,1.0,0.023173265159130096,,
3,6249,1.0,0.006383327767252922,,
3,6251,,,0.9907000064849854,0.03157724440097809
4,6299,1.0,0.002523203380405903,,
4,6349,0.96875,0.061732783913612366,,
4,6399,1.0,0.039518117904663086,,
4,6449,1.0,0.0008623405592516065,,
4,6499,0.9375,0.16177687048912048,,
4,6549,1.0,0.008469370193779469,,
4,6599,1.0,0.023343931883573532,,
4,6649,0.90625,0.2570781111717224,,
4,6699,1.0,0.012099118903279305,,
4,6749,1.0,0.008211507461965084,,
4,6799,1.0,0.011091424152255058,,
4,6849,1.0,0.03358340635895729,,
4,6899,1.0,0.0236331969499588,,
4,6949,0.96875,0.09427808970212936,,
4,6999,0.96875,0.06316988915205002,,
4,7049,0.9375,0.15465164184570312,,
4,7099,1.0,0.007960326969623566,,
4,7149,1.0,0.008380348794162273,,
4,7199,1.0,0.004708749242126942,,
4,7249,1.0,0.013889813795685768,,
4,7299,1.0,0.028946053236722946,,
4,7349,1.0,0.02814413793385029,,
4,7399,1.0,0.004627867601811886,,
4,7449,0.9375,0.07919200509786606,,
4,7499,0.96875,0.16896669566631317,,
4,7549,0.96875,0.05845730006694794,,
4,7599,1.0,0.017390640452504158,,
4,7649,1.0,0.007166960742324591,,
4,7699,1.0,0.007864544168114662,,
4,7749,0.96875,0.0801546722650528,,
4,7799,1.0,0.0255279578268528,,
4,7814,,,0.9901999831199646,0.0335075818002224
5,7849,1.0,0.0027001993730664253,,
5,7899,1.0,0.004647702910006046,,
5,7949,0.96875,0.030583033338189125,,
5,7999,1.0,0.001315274159424007,,
5,8049,1.0,0.014631347730755806,,
5,8099,1.0,0.0007610919419676065,,
5,8149,1.0,0.004006762057542801,,
5,8199,1.0,0.001883242279291153,,
5,8249,1.0,0.010142605751752853,,
5,8299,0.96875,0.05552901327610016,,
