epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.5625,1.637359619140625,,
0,99,0.90625,1.025742530822754,,
0,149,0.90625,0.7967739105224609,,
0,199,0.96875,0.4215233325958252,,
0,249,0.9375,0.31841030716896057,,
0,299,0.96875,0.257861852645874,,
0,349,0.9375,0.2365308403968811,,
0,399,0.875,0.4204833209514618,,
0,449,1.0,0.1990545094013214,,
0,499,0.96875,0.13719315826892853,,
0,549,0.96875,0.16631338000297546,,
0,599,1.0,0.08422842621803284,,
0,649,0.96875,0.15039263665676117,,
0,699,0.96875,0.14375102519989014,,
0,749,0.96875,0.1487722098827362,,
0,799,0.9375,0.18262267112731934,,
0,849,1.0,0.1151290088891983,,
0,899,1.0,0.0645267516374588,,
0,949,1.0,0.041847944259643555,,
0,999,0.96875,0.11435407400131226,,
0,1049,1.0,0.017113788053393364,,
0,1099,0.96875,0.17457649111747742,,
0,1149,1.0,0.040863215923309326,,
0,1199,0.96875,0.060673438012599945,,
0,1249,0.9375,0.2260047346353531,,
0,1299,1.0,0.08438815176486969,,
0,1349,0.96875,0.08274922519922256,,
0,1399,1.0,0.027091125026345253,,
0,1449,1.0,0.03760400041937828,,
0,1499,0.9375,0.13186103105545044,,
0,1549,1.0,0.07336767017841339,,
0,1562,,,0.9743000268936157,0.07759111374616623
1,1599,0.96875,0.10728253424167633,,
1,1649,1.0,0.0599168986082077,,
1,1699,0.9375,0.28075557947158813,,
1,1749,0.90625,0.19863539934158325,,
1,1799,0.9375,0.1448020339012146,,
1,1849,1.0,0.021381814032793045,,
1,1899,1.0,0.02724618650972843,,
1,1949,1.0,0.053945429623126984,,
1,1999,0.96875,0.09693070501089096,,
1,2049,0.9375,0.18182241916656494,,
1,2099,0.9375,0.2242051064968109,,
1,2149,0.96875,0.07356253266334534,,
1,2199,0.90625,0.17872117459774017,,
1,2249,0.9375,0.17073778808116913,,
1,2299,0.96875,0.0453658252954483,,
1,2349,1.0,0.04019196704030037,,
1,2399,0.90625,0.2306573987007141,,
1,2449,1.0,0.03860408812761307,,
1,2499,0.9375,0.15913920104503632,,
1,2549,1.0,0.009352345019578934,,
1,2599,0.9375,0.1594386249780655,,
1,2649,0.96875,0.05846549570560455,,
1,2699,1.0,0.0382261797785759,,
1,2749,1.0,0.056685782968997955,,
1,2799,0.9375,0.06481046229600906,,
1,2849,1.0,0.055571701377630234,,
1,2899,0.96875,0.0662132054567337,,
